route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,Zingbus Plus,A/C Sleeper (2+1),22:30,08h 55m,7:25,4.4,823,26
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,Jagan Travels,A/C Sleeper (2+1),23:15,07h 22m,6:37,4.5,INR 1200,17
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,ARHA TOURS & TRAVELS PRIVATE LIMITED,A/C Sleeper (2+1),22:00,08h 30m,6:30,4.2,1000,22
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,Ramana Tours And Travels,A/C Sleeper (2+1),23:00,08h 00m,7:00,4.7,980,25
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,CGR Travels,A/C Seater / Sleeper (2+1),22:50,07h 50m,6:40,4.3,INR 700,11
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,CGR Travels,Non A/C Seater / Sleeper (2+1),22:10,08h 15m,6:25,4.2,INR 500,19
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,Jagan Travels,A/C Sleeper (2+1),22:00,08h 00m,6:00,4.2,INR 850,18
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,ARHA TOURS & TRAVELS PRIVATE LIMITED,NON A/C Sleeper (2+1),22:00,08h 30m,6:30,4,800,10
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,Jagan Travels,A/C Seater / Sleeper (2+1),21:30,08h 20m,5:50,4.2,INR 720,33
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,CMR Express,NON A/C Sleeper (2+1),22:05,07h 57m,6:02,4.4,INR 790,20
